word|reading|jlpt_level|jlpt_level_raw|tags
一件落着|いっけんらくちゃく||NA6|n
八重|やえ||NA3|n
宝冠|ほうかん||NA3|n
重ね|かさね|N1|N1|n ctr
冷やし中華|ひやしちゅうか||NA3|n
自称|じしょう||NA4|adj-f n vs
集団自決|しゅうだんじけつ||NA4|
呆ける|ぼける||NA4|v1 vi aux-v
皺くちゃ|しわくちゃ||NA4|adj-no adj-na n
ぎざぎざ|ぎざぎざ||NA5|n adj-na adv adv-to vs
焼酎|しょうちゅう||NA6|n
指切拳万|ゆびきりげんまん||NA5|n
焼き鳥|やきとり||NA2|n
八十日目|やっとかめ||NA6|adj-na
戦没|せんぼつ||NA2|n vs vi
表彰|ひょうしょう||NA6|n vs vt
紅しょうが|べにしょうが||NA15|n
予定日|よていび||NA6|n
素養|そよう||NA15|n
落ち着いた|おちついた||NA2|adj-f
話し手|はなして||NA6|n
角のある|かどのある||NA15|exp adj-f
巻き髪|まきがみ||NA3|n
ゆで卵|ゆでたまご||NA18|n
豆知識|まめちしき||NA11|n
現役|げんえき||NA7|n adj-no
散らし|ちらし||NA7|n
既決|きけつ||NA18|adj-no n
照り焼き|てりやき||NA18|n
炊ける|たける||NA17|v1 vi
明細書|めいさいしょ||NA7|n
領収書|りょうしゅうしょ||NA7|n
浸かる|つかる||NA4|v5r vi
あばら屋|あばらや||NA8|n
たい焼き|たいやき||NA8|n
斑|むら||NA4|n adj-na
下積み|したづみ||NA8|n adj-no
開封|かいふう||NA8|n vs vt
学|がく||NA8|n n-suf
卵焼き|たまごやき||NA4|n
矛|ほこ||NA8|n
棺を蓋いて事定まる|かんをおおいてことさだまる||NA8|exp
説得上手|せっとくじょうず||NA1|n adj-na
五味|ごみ||NA9|n
惑う|まどう||NA9|v5u vi
嗜み|たしなみ||NA9|n
身に覚えの無い|みにおぼえのない||NA9|exp adj-f
交じり|まじり||NA6|n-suf n
メンヘラ|メンヘラ||NA10|n
レトルト|レトルト||NA10|
渦巻く|うずまく||NA10|v5k vi
修業|しゅうぎょう||NA6|n vs vt vi
熟知|じゅくち||NA10|n vs vt
上下|じょうげ|N3|N3|n vs vi
常識|じょうしき|N3|N3|n
評価|ひょうか|N3|N3|n vs vt
しゃぶしゃぶ|しゃぶしゃぶ|N1|N1|n
丹念|たんねん||NA10|adj-na n
承認|しょうにん||NA4|n vs vt
悶える|もだえる||NA10|v1 vi
源泉|げんせん||NA8|n
ポンコツ|ポンコツ||NA11|n adj-na adj-no
関わり合う|かかわりあう||NA11|v5u
誓約|せいやく||NA11|n vs vt
巻き添え|まきぞえ||NA9|n
筋骨隆々|きんこつりゅうりゅう||NA9|adj-na adj-no adj-t adv-to
ばさばさ|ばさばさ||NA12|adv-to adv vs adj-na
修羅|しゅら||NA10|n
太巻き|ふとまき||NA10|n
ＤＱＮ|ドキュン||NA11|n
自他共に認める|じたともにみとめる||NA13|exp v1
認定|にんてい||NA13|n vs vt
猫又|ねこまた||NA13|n
前代未聞|ぜんだいみもん||NA13|n adj-no
用済み|ようずみ||NA13|n adj-no
乱世|らんせい||NA13|n
ウハウハ|ウハウハ||NA14|adj-na adv vs
漬物|つけもの||NA14|n
有耶無耶|うやむや||NA14|adj-na n
咽ぶ|むせぶ||NA12|v5b vi
盛り|もり||NA12|n n-suf ctr
斑|まだら||NA12|n adj-na adj-no
有職|ゆうしょく||NA12|n
忍び笑い|しのびわらい||NA13|n
べた|べた||NA13|adj-na n n-pref adj-no
車両|しゃりょう||NA4|n
途方に暮れる|とほうにくれる||NA13|exp v1
浮き足|うきあし||NA13|n
又とない|またとない||NA13|exp
立て込む|たてこむ||NA13|v5m vi
閊える|つかえる||NA13|v1 vi
一定|いってい|N3|N3|vs vt vi adj-no
詰まる|つまる|N2|N2|v5r vi
弱る|よわる|N2|N2|v5r vi
精密|せいみつ|N2|N2|adj-na n
皺皺|しわしわ||NA14|adv
いわゆる|いわゆる|N3|N3|adj-pn
塞がる|ふさがる|N3|N3|v5r vi
ぱんぱん|ぱんぱん|N1|N1|adv adv-to adj-na n
廃人|はいじん||NA15|n suf
がり|がり||NA16|n
せこい|せこい||NA16|adj-i
びっくり|びっくり|N5|N5|vs vi adv adj-f
早贄|はやにえ||NA16|n
盛りそば|もりそば||NA16|n
眼鏡にかなう|めがねにかなう||NA16|exp v5u
笠子|かさご||NA16|n
罫紙|けいし||NA16|n
入母屋|いりもや||NA17|n
焼肉|やきにく||NA17|n
知|ち||NA17|n
錯綜|さくそう||NA19|n vs vi
籠もる|こもる|N1|N1|v5r vi
とも|とも||NA1|prt exp
雉鳩|きじばと||NA18|n
むしゃむしゃ|むしゃむしゃ||NA19|adv adv-to
ゴツゴツ|ゴツゴツ||NA19|vs adv adj-no n
